bike_name,price,kms_driven,age,power,brand
Yamaha Fazer 25,123000,14500,4.0,250,Yamaha
Royal Enfield Classic,95500,18000,8.0,350,Royal Enfield
Hero Passion Pro,32000,12000,6.0,100,Hero
Bajaj Avenger 220cc,41000,20245,11.0,220,Bajaj
Hero Passion 100cc,15000,35000,19.0,100,Hero
Hero Passion Pro,39000,22000,4.0,100,Hero
TVS Apache RTR,30000,6639,9.0,180,TVS
Bajaj Avenger Street,60000,20373,6.0,220,Bajaj
Hero Super Splendor,15600,84186,16.0,125,Hero
Bajaj Pulsar 150cc,22000,60857,13.0,150,Bajaj
Yamaha FZ 150cc,45000,18742,6.0,150,Yamaha
Honda CB Trigger,43000,42837,8.0,150,Honda
Yamaha YZF-R15 2.0,55000,27000,9.0,150,Yamaha
Hero CBZ Xtreme,11900,34968,14.0,150,Hero
Royal Enfield Bullet,105000,20000,4.0,350,Royal Enfield
Hero Passion 100cc,18000,3869,16.0,100,Hero
Bajaj Pulsar NS200,48000,41939,8.0,200,Bajaj
Bajaj Avenger 220cc,50000,29134,7.0,220,Bajaj
Hero Hunk Rear,25000,48587,8.0,150,Hero
Bajaj Avenger Street,70000,8000,5.0,220,Bajaj
Honda CB Hornet,87000,140,3.0,160,Honda
Bajaj Pulsar 150cc,10000,64955,15.0,150,Bajaj
Yamaha Fazer 150cc,25000,65000,12.0,150,Yamaha
Hero CD Deluxe,18000,22824,8.0,100,Hero
Bajaj Pulsar 150cc,14227,36000,15.0,150,Bajaj
Bajaj Avenger 220cc,35000,60000,9.0,220,Bajaj
Harley-Davidson Street 750,450000,3430,4.0,750,Harley-Davidson
Bajaj Dominar 400,139000,21300,4.0,400,Bajaj
Bajaj Avenger Street,80000,7127,5.0,220,Bajaj
Bajaj Platina 100cc,23000,20000,6.0,100,Bajaj
Suzuki Slingshot Plus,32000,22697,7.0,125,Suzuki
Yamaha SZ-RR 150cc,20000,52000,10.0,150,Yamaha
Bajaj Avenger Street,55005,6600,5.0,220,Bajaj
Royal Enfield Classic,87000,16336,7.0,350,Royal Enfield
Royal Enfield Thunderbird,70000,13858,11.0,350,Royal Enfield
Suzuki Zeus 125cc,35000,11885,12.0,125,Suzuki
KTM RC 390cc,196700,13216,4.0,390,KTM
Bajaj Pulsar 150cc,25000,32588,9.0,150,Bajaj
Yamaha Fazer 25,123000,14500,4.0,250,Yamaha
Royal Enfield Classic,95500,18000,8.0,350,Royal Enfield
Hero Passion Pro,32000,12000,6.0,100,Hero
Bajaj Avenger 220cc,41000,20245,11.0,220,Bajaj
Hero Passion 100cc,15000,35000,19.0,100,Hero
Hero Passion Pro,39000,22000,4.0,100,Hero
TVS Apache RTR,30000,6639,9.0,180,TVS
Bajaj Avenger Street,60000,20373,6.0,220,Bajaj
Hero Super Splendor,15600,84186,16.0,125,Hero
Bajaj Pulsar 150cc,22000,60857,13.0,150,Bajaj
Yamaha FZ 150cc,45000,18742,6.0,150,Yamaha
Honda CB Trigger,43000,42837,8.0,150,Honda
Yamaha YZF-R15 2.0,55000,27000,9.0,150,Yamaha
Hero CBZ Xtreme,11900,34968,14.0,150,Hero
Royal Enfield Bullet,105000,20000,4.0,350,Royal Enfield
Hero Passion 100cc,18000,3869,16.0,100,Hero
Bajaj Pulsar NS200,48000,41939,8.0,200,Bajaj
Bajaj Avenger 220cc,50000,29134,7.0,220,Bajaj
Hero Hunk Rear,25000,48587,8.0,150,Hero
Bajaj Avenger Street,70000,8000,5.0,220,Bajaj
Honda CB Hornet,87000,140,3.0,160,Honda
Bajaj Pulsar 150cc,10000,64955,15.0,150,Bajaj
Yamaha Fazer 150cc,25000,65000,12.0,150,Yamaha
Hero CD Deluxe,18000,22824,8.0,100,Hero
Bajaj Pulsar 150cc,14227,36000,15.0,150,Bajaj
Bajaj Avenger 220cc,35000,60000,9.0,220,Bajaj
Harley-Davidson Street 750,450000,3430,4.0,750,Harley-Davidson
Bajaj Dominar 400,139000,21300,4.0,400,Bajaj
Bajaj Avenger Street,80000,7127,5.0,220,Bajaj
Bajaj Platina 100cc,23000,20000,6.0,100,Bajaj
Suzuki Slingshot Plus,32000,22697,7.0,125,Suzuki
Yamaha SZ-RR 150cc,20000,52000,10.0,150,Yamaha
Bajaj Avenger Street,55005,6600,5.0,220,Bajaj
Royal Enfield Classic,87000,16336,7.0,350,Royal Enfield
Royal Enfield Thunderbird,70000,13858,11.0,350,Royal Enfield
Suzuki Zeus 125cc,35000,11885,12.0,125,Suzuki
KTM RC 390cc,196700,13216,4.0,390,KTM
Bajaj Pulsar 150cc,25000,32588,9.0,150,Bajaj
Yamaha Fazer 25,123000,14500,4.0,250,Yamaha
Royal Enfield Classic,95500,18000,8.0,350,Royal Enfield
Hero Passion Pro,32000,12000,6.0,100,Hero
Bajaj Avenger 220cc,41000,20245,11.0,220,Bajaj
Hero Passion 100cc,15000,35000,19.0,100,Hero
Hero Passion Pro,39000,22000,4.0,100,Hero
TVS Apache RTR,30000,6639,9.0,180,TVS
Bajaj Avenger Street,60000,20373,6.0,220,Bajaj
Hero Super Splendor,15600,84186,16.0,125,Hero
Bajaj Pulsar 150cc,22000,60857,13.0,150,Bajaj
Yamaha FZ 150cc,45000,18742,6.0,150,Yamaha
Honda CB Trigger,43000,42837,8.0,150,Honda
Yamaha YZF-R15 2.0,55000,27000,9.0,150,Yamaha
Hero CBZ Xtreme,11900,34968,14.0,150,Hero
Royal Enfield Bullet,105000,20000,4.0,350,Royal Enfield
Hero Passion 100cc,18000,3869,16.0,100,Hero
Bajaj Pulsar NS200,48000,41939,8.0,200,Bajaj
Bajaj Avenger 220cc,50000,29134,7.0,220,Bajaj
Hero Hunk Rear,25000,48587,8.0,150,Hero
Bajaj Avenger Street,70000,8000,5.0,220,Bajaj
Honda CB Hornet,87000,140,3.0,160,Honda
Bajaj Pulsar 150cc,10000,64955,15.0,150,Bajaj
Yamaha Fazer 150cc,25000,65000,12.0,150,Yamaha
Hero CD Deluxe,18000,22824,8.0,100,Hero
Bajaj Pulsar 150cc,14227,36000,15.0,150,Bajaj
Bajaj Avenger 220cc,35000,60000,9.0,220,Bajaj
Harley-Davidson Street 750,450000,3430,4.0,750,Harley-Davidson
Bajaj Dominar 400,139000,21300,4.0,400,Bajaj
Bajaj Avenger Street,80000,7127,5.0,220,Bajaj
Bajaj Platina 100cc,23000,20000,6.0,100,Bajaj
Suzuki Slingshot Plus,32000,22697,7.0,125,Suzuki
Yamaha SZ-RR 150cc,20000,52000,10.0,150,Yamaha
Bajaj Avenger Street,55005,6600,5.0,220,Bajaj
Royal Enfield Classic,87000,16336,7.0,350,Royal Enfield
Royal Enfield Thunderbird,70000,13858,11.0,350,Royal Enfield
Suzuki Zeus 125cc,35000,11885,12.0,125,Suzuki
KTM RC 390cc,196700,13216,4.0,390,KTM
Bajaj Pulsar 150cc,25000,32588,9.0,150,Bajaj
Yamaha Fazer 25,123000,14500,4.0,250,Yamaha
Royal Enfield Classic,95500,18000,8.0,350,Royal Enfield
Hero Passion Pro,32000,12000,6.0,100,Hero
Bajaj Avenger 220cc,41000,20245,11.0,220,Bajaj
Hero Passion 100cc,15000,35000,19.0,100,Hero
Hero Passion Pro,39000,22000,4.0,100,Hero
TVS Apache RTR,30000,6639,9.0,180,TVS
Bajaj Avenger Street,60000,20373,6.0,220,Bajaj
Hero Super Splendor,15600,84186,16.0,125,Hero
Bajaj Pulsar 150cc,22000,60857,13.0,150,Bajaj
Bajaj Platina 100cc,23000,20000,6.0,100,Bajaj
Suzuki Slingshot Plus,32000,22697,7.0,125,Suzuki
Yamaha SZ-RR 150cc,20000,52000,10.0,150,Yamaha
Bajaj Avenger Street,55005,6600,5.0,220,Bajaj
Royal Enfield Classic,87000,16336,7.0,350,Royal Enfield
Royal Enfield Thunderbird,70000,13858,11.0,350,Royal Enfield
Suzuki Zeus 125cc,35000,11885,12.0,125,Suzuki
KTM RC 390cc,196700,13216,4.0,390,KTM
Bajaj Pulsar 150cc,25000,32588,9.0,150,Bajaj
Yamaha Fazer 25,123000,14500,4.0,250,Yamaha
Royal Enfield Classic,95500,18000,8.0,350,Royal Enfield
Hero Passion Pro,32000,12000,6.0,100,Hero
Bajaj Avenger 220cc,41000,20245,11.0,220,Bajaj
Hero Passion 100cc,15000,35000,19.0,100,Hero
Hero Passion Pro,39000,22000,4.0,100,Hero
TVS Apache RTR,30000,6639,9.0,180,TVS
Bajaj Avenger Street,60000,20373,6.0,220,Bajaj
Hero Super Splendor,15600,84186,16.0,125,Hero
Bajaj Pulsar 150cc,22000,60857,13.0,150,Bajaj
Bajaj Platina 100cc,23000,20000,6.0,100,Bajaj
Suzuki Slingshot Plus,32000,22697,7.0,125,Suzuki
Yamaha SZ-RR 150cc,20000,52000,10.0,150,Yamaha
Bajaj Avenger Street,55005,6600,5.0,220,Bajaj
Royal Enfield Classic,87000,16336,7.0,350,Royal Enfield
Royal Enfield Thunderbird,70000,13858,11.0,350,Royal Enfield
Suzuki Zeus 125cc,35000,11885,12.0,125,Suzuki
KTM RC 390cc,196700,13216,4.0,390,KTM
Bajaj Pulsar 150cc,25000,32588,9.0,150,Bajaj
Yamaha Fazer 25,123000,14500,4.0,250,Yamaha
Royal Enfield Classic,95500,18000,8.0,350,Royal Enfield
Hero Passion Pro,32000,12000,6.0,100,Hero
Bajaj Avenger 220cc,41000,20245,11.0,220,Bajaj
Hero Passion 100cc,15000,35000,19.0,100,Hero
Hero Passion Pro,39000,22000,4.0,100,Hero
TVS Apache RTR,30000,6639,9.0,180,TVS
Bajaj Avenger Street,60000,20373,6.0,220,Bajaj
Hero Super Splendor,15600,84186,16.0,125,Hero
Bajaj Pulsar 150cc,22000,60857,13.0,150,Bajaj
Bajaj Platina 100cc,23000,20000,6.0,100,Bajaj
Suzuki Slingshot Plus,32000,22697,7.0,125,Suzuki
Yamaha SZ-RR 150cc,20000,52000,10.0,150,Yamaha
Bajaj Avenger Street,55005,6600,5.0,220,Bajaj
Royal Enfield Classic,87000,16336,7.0,350,Royal Enfield
Royal Enfield Thunderbird,70000,13858,11.0,350,Royal Enfield
Suzuki Zeus 125cc,35000,11885,12.0,125,Suzuki
KTM RC 390cc,196700,13216,4.0,390,KTM
Bajaj Pulsar 150cc,25000,32588,9.0,150,Bajaj
Yamaha Fazer 25,123000,14500,4.0,250,Yamaha
Royal Enfield Classic,95500,18000,8.0,350,Royal Enfield
Hero Passion Pro,32000,12000,6.0,100,Hero
Bajaj Avenger 220cc,41000,20245,11.0,220,Bajaj
Hero Passion 100cc,15000,35000,19.0,100,Hero
Hero Passion Pro,39000,22000,4.0,100,Hero
TVS Apache RTR,30000,6639,9.0,180,TVS
Bajaj Avenger Street,60000,20373,6.0,220,Bajaj
Hero Super Splendor,15600,84186,16.0,125,Hero
Bajaj Pulsar 150cc,22000,60857,13.0,150,Bajaj
Bajaj Platina 100cc,23000,20000,6.0,100,Bajaj
Suzuki Slingshot Plus,32000,22697,7.0,125,Suzuki
Yamaha SZ-RR 150cc,20000,52000,10.0,150,Yamaha
Bajaj Avenger Street,55005,6600,5.0,220,Bajaj
Royal Enfield Classic,87000,16336,7.0,350,Royal Enfield
Royal Enfield Thunderbird,70000,13858,11.0,350,Royal Enfield
Suzuki Zeus 125cc,35000,11885,12.0,125,Suzuki
KTM RC 390cc,196700,13216,4.0,390,KTM
Bajaj Pulsar 150cc,25000,32588,9.0,150,Bajaj
Yamaha Fazer 25,123000,14500,4.0,250,Yamaha
Royal Enfield Classic,95500,18000,8.0,350,Royal Enfield
Hero Passion Pro,32000,12000,6.0,100,Hero
Bajaj Avenger 220cc,41000,20245,11.0,220,Bajaj
Hero Passion 100cc,15000,35000,19.0,100,Hero
Hero Passion Pro,39000,22000,4.0,100,Hero
TVS Apache RTR,30000,6639,9.0,180,TVS
Bajaj Avenger Street,60000,20373,6.0,220,Bajaj
Hero Super Splendor,15600,84186,16.0,125,Hero
Bajaj Pulsar 150cc,22000,60857,13.0,150,Bajaj
Yamaha FZ 150cc,45000,18742,6.0,150,Yamaha
Honda CB Trigger,43000,42837,8.0,150,Honda
Yamaha YZF-R15 2.0,55000,27000,9.0,150,Yamaha
Hero CBZ Xtreme,11900,34968,14.0,150,Hero
Royal Enfield Bullet,105000,20000,4.0,350,Royal Enfield
Hero Passion 100cc,18000,3869,16.0,100,Hero
Bajaj Pulsar NS200,48000,41939,8.0,200,Bajaj
Bajaj Avenger 220cc,50000,29134,7.0,220,Bajaj
Hero Hunk Rear,25000,48587,8.0,150,Hero
Bajaj Avenger Street,70000,8000,5.0,220,Bajaj
Honda CB Hornet,87000,140,3.0,160,Honda
Bajaj Pulsar 150cc,10000,64955,15.0,150,Bajaj
Yamaha Fazer 150cc,25000,65000,12.0,150,Yamaha
Hero CD Deluxe,18000,22824,8.0,100,Hero
Bajaj Pulsar 150cc,14227,36000,15.0,150,Bajaj
Bajaj Avenger 220cc,35000,60000,9.0,220,Bajaj
Harley-Davidson Street 750,450000,3430,4.0,750,Harley-Davidson
Bajaj Dominar 400,139000,21300,4.0,400,Bajaj
Bajaj Avenger Street,80000,7127,5.0,220,Bajaj
Bajaj Platina 100cc,23000,20000,6.0,100,Bajaj
Suzuki Slingshot Plus,32000,22697,7.0,125,Suzuki
Yamaha SZ-RR 150cc,20000,52000,10.0,150,Yamaha
Bajaj Avenger Street,55005,6600,5.0,220,Bajaj
Royal Enfield Classic,87000,16336,7.0,350,Royal Enfield
Royal Enfield Thunderbird,70000,13858,11.0,350,Royal Enfield
Suzuki Zeus 125cc,35000,11885,12.0,125,Suzuki
KTM RC 390cc,196700,13216,4.0,390,KTM
Bajaj Pulsar 150cc,25000,32588,9.0,150,Bajaj
Yamaha Fazer 25,123000,14500,4.0,250,Yamaha
Royal Enfield Classic,95500,18000,8.0,350,Royal Enfield
Hero Passion Pro,32000,12000,6.0,100,Hero
Bajaj Avenger 220cc,41000,20245,11.0,220,Bajaj
Hero Passion 100cc,15000,35000,19.0,100,Hero
Hero Passion Pro,39000,22000,4.0,100,Hero
TVS Apache RTR,30000,6639,9.0,180,TVS
Bajaj Avenger Street,60000,20373,6.0,220,Bajaj
Hero Super Splendor,15600,84186,16.0,125,Hero
Bajaj Pulsar 150cc,22000,60857,13.0,150,Bajaj
Yamaha FZ 150cc,45000,18742,6.0,150,Yamaha
Honda CB Trigger,43000,42837,8.0,150,Honda
Yamaha YZF-R15 2.0,55000,27000,9.0,150,Yamaha
Hero CBZ Xtreme,11900,34968,14.0,150,Hero
Royal Enfield Bullet,105000,20000,4.0,350,Royal Enfield
Hero Passion 100cc,18000,3869,16.0,100,Hero
Bajaj Pulsar NS200,48000,41939,8.0,200,Bajaj
Bajaj Avenger 220cc,50000,29134,7.0,220,Bajaj
Hero Hunk Rear,25000,48587,8.0,150,Hero
Bajaj Avenger Street,70000,8000,5.0,220,Bajaj
Honda CB Hornet,87000,140,3.0,160,Honda
Bajaj Pulsar 150cc,10000,64955,15.0,150,Bajaj
Yamaha Fazer 150cc,25000,65000,12.0,150,Yamaha
Hero CD Deluxe,18000,22824,8.0,100,Hero
Bajaj Pulsar 150cc,14227,36000,15.0,150,Bajaj
Bajaj Avenger 220cc,35000,60000,9.0,220,Bajaj
Harley-Davidson Street 750,450000,3430,4.0,750,Harley-Davidson
Bajaj Dominar 400,139000,21300,4.0,400,Bajaj
Bajaj Avenger Street,80000,7127,5.0,220,Bajaj
Yamaha FZ 150cc,45000,18742,6.0,150,Yamaha
Honda CB Trigger,43000,42837,8.0,150,Honda
Yamaha YZF-R15 2.0,55000,27000,9.0,150,Yamaha
Hero CBZ Xtreme,11900,34968,14.0,150,Hero
Royal Enfield Bullet,105000,20000,4.0,350,Royal Enfield
Hero Passion 100cc,18000,3869,16.0,100,Hero
Bajaj Pulsar NS200,48000,41939,8.0,200,Bajaj
Bajaj Avenger 220cc,50000,29134,7.0,220,Bajaj
Hero Hunk Rear,25000,48587,8.0,150,Hero
Bajaj Avenger Street,70000,8000,5.0,220,Bajaj
Honda CB Hornet,87000,140,3.0,160,Honda
Bajaj Pulsar 150cc,10000,64955,15.0,150,Bajaj
Yamaha Fazer 150cc,25000,65000,12.0,150,Yamaha
Hero CD Deluxe,18000,22824,8.0,100,Hero
Bajaj Pulsar 150cc,14227,36000,15.0,150,Bajaj
Bajaj Avenger 220cc,35000,60000,9.0,220,Bajaj
Harley-Davidson Street 750,450000,3430,4.0,750,Harley-Davidson
Bajaj Dominar 400,139000,21300,4.0,400,Bajaj
Bajaj Avenger Street,80000,7127,5.0,220,Bajaj
Yamaha FZ 150cc,45000,18742,6.0,150,Yamaha
Honda CB Trigger,43000,42837,8.0,150,Honda
Yamaha YZF-R15 2.0,55000,27000,9.0,150,Yamaha
Hero CBZ Xtreme,11900,34968,14.0,150,Hero
Royal Enfield Bullet,105000,20000,4.0,350,Royal Enfield
Hero Passion 100cc,18000,3869,16.0,100,Hero
Bajaj Pulsar NS200,48000,41939,8.0,200,Bajaj
Bajaj Avenger 220cc,50000,29134,7.0,220,Bajaj
Hero Hunk Rear,25000,48587,8.0,150,Hero
Bajaj Avenger Street,70000,8000,5.0,220,Bajaj
Honda CB Hornet,87000,140,3.0,160,Honda
Bajaj Pulsar 150cc,10000,64955,15.0,150,Bajaj
Yamaha Fazer 150cc,25000,65000,12.0,150,Yamaha
Hero CD Deluxe,18000,22824,8.0,100,Hero
Bajaj Pulsar 150cc,14227,36000,15.0,150,Bajaj
Bajaj Avenger 220cc,35000,60000,9.0,220,Bajaj
Harley-Davidson Street 750,450000,3430,4.0,750,Harley-Davidson
Bajaj Dominar 400,139000,21300,4.0,400,Bajaj
Bajaj Avenger Street,80000,7127,5.0,220,Bajaj
Bajaj Platina 100cc,23000,20000,6.0,100,Bajaj
Suzuki Slingshot Plus,32000,22697,7.0,125,Suzuki
Yamaha SZ-RR 150cc,20000,52000,10.0,150,Yamaha
Bajaj Avenger Street,55005,6600,5.0,220,Bajaj
Royal Enfield Classic,87000,16336,7.0,350,Royal Enfield
Royal Enfield Thunderbird,70000,13858,11.0,350,Royal Enfield
Suzuki Zeus 125cc,35000,11885,12.0,125,Suzuki
KTM RC 390cc,196700,13216,4.0,390,KTM
Bajaj Pulsar 150cc,25000,32588,9.0,150,Bajaj
Yamaha Fazer 25,123000,14500,4.0,250,Yamaha
Royal Enfield Classic,95500,18000,8.0,350,Royal Enfield
Hero Passion Pro,32000,12000,6.0,100,Hero
Bajaj Avenger 220cc,41000,20245,11.0,220,Bajaj
Hero Passion 100cc,15000,35000,19.0,100,Hero
Hero Passion Pro,39000,22000,4.0,100,Hero
TVS Apache RTR,30000,6639,9.0,180,TVS
Bajaj Avenger Street,60000,20373,6.0,220,Bajaj
Hero Super Splendor,15600,84186,16.0,125,Hero
Bajaj Pulsar 150cc,22000,60857,13.0,150,Bajaj
Bajaj Platina 100cc,23000,20000,6.0,100,Bajaj
Suzuki Slingshot Plus,32000,22697,7.0,125,Suzuki
Yamaha SZ-RR 150cc,20000,52000,10.0,150,Yamaha
Bajaj Avenger Street,55005,6600,5.0,220,Bajaj
Royal Enfield Classic,87000,16336,7.0,350,Royal Enfield
Royal Enfield Thunderbird,70000,13858,11.0,350,Royal Enfield
Suzuki Zeus 125cc,35000,11885,12.0,125,Suzuki
KTM RC 390cc,196700,13216,4.0,390,KTM
Bajaj Pulsar 150cc,25000,32588,9.0,150,Bajaj
Yamaha Fazer 25,123000,14500,4.0,250,Yamaha
Royal Enfield Classic,95500,18000,8.0,350,Royal Enfield
Hero Passion Pro,32000,12000,6.0,100,Hero
Bajaj Avenger 220cc,41000,20245,11.0,220,Bajaj
Hero Passion 100cc,15000,35000,19.0,100,Hero
Hero Passion Pro,39000,22000,4.0,100,Hero
TVS Apache RTR,30000,6639,9.0,180,TVS
Bajaj Avenger Street,60000,20373,6.0,220,Bajaj
Hero Super Splendor,15600,84186,16.0,125,Hero
Bajaj Pulsar 150cc,22000,60857,13.0,150,Bajaj
Yamaha FZ 150cc,45000,18742,6.0,150,Yamaha
Honda CB Trigger,43000,42837,8.0,150,Honda
Yamaha YZF-R15 2.0,55000,27000,9.0,150,Yamaha
Hero CBZ Xtreme,11900,34968,14.0,150,Hero
Royal Enfield Bullet,105000,20000,4.0,350,Royal Enfield
Hero Passion 100cc,18000,3869,16.0,100,Hero
Bajaj Pulsar NS200,48000,41939,8.0,200,Bajaj
Bajaj Avenger 220cc,50000,29134,7.0,220,Bajaj
Hero Hunk Rear,25000,48587,8.0,150,Hero
Bajaj Avenger Street,70000,8000,5.0,220,Bajaj
Honda CB Hornet,87000,140,3.0,160,Honda
Bajaj Pulsar 150cc,10000,64955,15.0,150,Bajaj
Yamaha Fazer 150cc,25000,65000,12.0,150,Yamaha
Hero CD Deluxe,18000,22824,8.0,100,Hero
Bajaj Pulsar 150cc,14227,36000,15.0,150,Bajaj
Bajaj Avenger 220cc,35000,60000,9.0,220,Bajaj
Harley-Davidson Street 750,450000,3430,4.0,750,Harley-Davidson
Bajaj Dominar 400,139000,21300,4.0,400,Bajaj
Bajaj Avenger Street,80000,7127,5.0,220,Bajaj
Bajaj Platina 100cc,23000,20000,6.0,100,Bajaj
Suzuki Slingshot Plus,32000,22697,7.0,125,Suzuki
Yamaha SZ-RR 150cc,20000,52000,10.0,150,Yamaha
Bajaj Avenger Street,55005,6600,5.0,220,Bajaj
Royal Enfield Classic,87000,16336,7.0,350,Royal Enfield
Royal Enfield Thunderbird,70000,13858,11.0,350,Royal Enfield
Suzuki Zeus 125cc,35000,11885,12.0,125,Suzuki
KTM RC 390cc,196700,13216,4.0,390,KTM
Bajaj Pulsar 150cc,25000,32588,9.0,150,Bajaj
Yamaha Fazer 25,123000,14500,4.0,250,Yamaha
Royal Enfield Classic,95500,18000,8.0,350,Royal Enfield
Hero Passion Pro,32000,12000,6.0,100,Hero
Bajaj Avenger 220cc,41000,20245,11.0,220,Bajaj
Hero Passion 100cc,15000,35000,19.0,100,Hero
Hero Passion Pro,39000,22000,4.0,100,Hero
TVS Apache RTR,30000,6639,9.0,180,TVS
Bajaj Avenger Street,60000,20373,6.0,220,Bajaj
Hero Super Splendor,15600,84186,16.0,125,Hero
Bajaj Pulsar 150cc,22000,60857,13.0,150,Bajaj
Bajaj Platina 100cc,23000,20000,6.0,100,Bajaj
Suzuki Slingshot Plus,32000,22697,7.0,125,Suzuki
Yamaha SZ-RR 150cc,20000,52000,10.0,150,Yamaha
Bajaj Avenger Street,55005,6600,5.0,220,Bajaj
Royal Enfield Classic,87000,16336,7.0,350,Royal Enfield
Royal Enfield Thunderbird,70000,13858,11.0,350,Royal Enfield
Suzuki Zeus 125cc,35000,11885,12.0,125,Suzuki
KTM RC 390cc,196700,13216,4.0,390,KTM
Bajaj Pulsar 150cc,25000,32588,9.0,150,Bajaj
Yamaha Fazer 25,123000,14500,4.0,250,Yamaha
Royal Enfield Classic,95500,18000,8.0,350,Royal Enfield
Hero Passion Pro,32000,12000,6.0,100,Hero
Bajaj Avenger 220cc,41000,20245,11.0,220,Bajaj
Hero Passion 100cc,15000,35000,19.0,100,Hero
Hero Passion Pro,39000,22000,4.0,100,Hero
TVS Apache RTR,30000,6639,9.0,180,TVS
Bajaj Avenger Street,60000,20373,6.0,220,Bajaj
Hero Super Splendor,15600,84186,16.0,125,Hero
Bajaj Pulsar 150cc,22000,60857,13.0,150,Bajaj
Bajaj Platina 100cc,23000,20000,6.0,100,Bajaj
Suzuki Slingshot Plus,32000,22697,7.0,125,Suzuki
Yamaha SZ-RR 150cc,20000,52000,10.0,150,Yamaha
Bajaj Avenger Street,55005,6600,5.0,220,Bajaj
Royal Enfield Classic,87000,16336,7.0,350,Royal Enfield
Royal Enfield Thunderbird,70000,13858,11.0,350,Royal Enfield
Suzuki Zeus 125cc,35000,11885,12.0,125,Suzuki
KTM RC 390cc,196700,13216,4.0,390,KTM
Bajaj Pulsar 150cc,25000,32588,9.0,150,Bajaj
Yamaha Fazer 25,123000,14500,4.0,250,Yamaha
Royal Enfield Classic,95500,18000,8.0,350,Royal Enfield
Hero Passion Pro,32000,12000,6.0,100,Hero
Bajaj Avenger 220cc,41000,20245,11.0,220,Bajaj
Hero Passion 100cc,15000,35000,19.0,100,Hero
Hero Passion Pro,39000,22000,4.0,100,Hero
TVS Apache RTR,30000,6639,9.0,180,TVS
Bajaj Avenger Street,60000,20373,6.0,220,Bajaj
Hero Super Splendor,15600,84186,16.0,125,Hero
Bajaj Pulsar 150cc,22000,60857,13.0,150,Bajaj
Yamaha FZ 150cc,45000,18742,6.0,150,Yamaha
Honda CB Trigger,43000,42837,8.0,150,Honda
Yamaha YZF-R15 2.0,55000,27000,9.0,150,Yamaha
Hero CBZ Xtreme,11900,34968,14.0,150,Hero
Royal Enfield Bullet,105000,20000,4.0,350,Royal Enfield
Hero Passion 100cc,18000,3869,16.0,100,Hero
Bajaj Pulsar NS200,48000,41939,8.0,200,Bajaj
Bajaj Avenger 220cc,50000,29134,7.0,220,Bajaj
Hero Hunk Rear,25000,48587,8.0,150,Hero
Bajaj Avenger Street,70000,8000,5.0,220,Bajaj
Honda CB Hornet,87000,140,3.0,160,Honda
Bajaj Pulsar 150cc,10000,64955,15.0,150,Bajaj
Yamaha Fazer 150cc,25000,65000,12.0,150,Yamaha
Hero CD Deluxe,18000,22824,8.0,100,Hero
Bajaj Pulsar 150cc,14227,36000,15.0,150,Bajaj
Bajaj Avenger 220cc,35000,60000,9.0,220,Bajaj
Harley-Davidson Street 750,450000,3430,4.0,750,Harley-Davidson
Bajaj Dominar 400,139000,21300,4.0,400,Bajaj
Bajaj Avenger Street,80000,7127,5.0,220,Bajaj
Yamaha FZ 150cc,45000,18742,6.0,150,Yamaha
Honda CB Trigger,43000,42837,8.0,150,Honda
Yamaha YZF-R15 2.0,55000,27000,9.0,150,Yamaha
Hero CBZ Xtreme,11900,34968,14.0,150,Hero
Royal Enfield Bullet,105000,20000,4.0,350,Royal Enfield
Hero Passion 100cc,18000,3869,16.0,100,Hero
Bajaj Pulsar NS200,48000,41939,8.0,200,Bajaj
Bajaj Avenger 220cc,50000,29134,7.0,220,Bajaj
Hero Hunk Rear,25000,48587,8.0,150,Hero
Bajaj Avenger Street,70000,8000,5.0,220,Bajaj
Honda CB Hornet,87000,140,3.0,160,Honda
Bajaj Pulsar 150cc,10000,64955,15.0,150,Bajaj
Yamaha Fazer 150cc,25000,65000,12.0,150,Yamaha
Hero CD Deluxe,18000,22824,8.0,100,Hero
Bajaj Pulsar 150cc,14227,36000,15.0,150,Bajaj
Bajaj Avenger 220cc,35000,60000,9.0,220,Bajaj
Harley-Davidson Street 750,450000,3430,4.0,750,Harley-Davidson
Bajaj Dominar 400,139000,21300,4.0,400,Bajaj
Bajaj Avenger Street,80000,7127,5.0,220,Bajaj
Bajaj Platina 100cc,23000,20000,6.0,100,Bajaj
Suzuki Slingshot Plus,32000,22697,7.0,125,Suzuki
Yamaha SZ-RR 150cc,20000,52000,10.0,150,Yamaha
Bajaj Avenger Street,55005,6600,5.0,220,Bajaj
Royal Enfield Classic,87000,16336,7.0,350,Royal Enfield
Royal Enfield Thunderbird,70000,13858,11.0,350,Royal Enfield
Suzuki Zeus 125cc,35000,11885,12.0,125,Suzuki
KTM RC 390cc,196700,13216,4.0,390,KTM
Bajaj Pulsar 150cc,25000,32588,9.0,150,Bajaj
Yamaha Fazer 25,123000,14500,4.0,250,Yamaha
Royal Enfield Classic,95500,18000,8.0,350,Royal Enfield
Hero Passion Pro,32000,12000,6.0,100,Hero
Bajaj Avenger 220cc,41000,20245,11.0,220,Bajaj
Hero Passion 100cc,15000,35000,19.0,100,Hero
Hero Passion Pro,39000,22000,4.0,100,Hero
TVS Apache RTR,30000,6639,9.0,180,TVS
Bajaj Avenger Street,60000,20373,6.0,220,Bajaj
